n,elapsed_time,FLOPs
540,58259,6.41263e+08
541,59340,6.31914e+08
542,59263,6.35076e+08
543,58946,6.40848e+08
544,59016,6.42447e+08
545,61122,6.22592e+08
546,59160,6.45602e+08
547,59760,6.41462e+08
548,59898,6.42325e+08
549,60612,6.37076e+08
550,60566,6.39884e+08
551,60339,6.44628e+08
552,61365,6.36152e+08
553,60765,6.44762e+08
554,61232,6.42159e+08
555,60962,6.47333e+08
556,63300,6.25671e+08
557,61256,6.48876e+08
558,61525,6.48359e+08
559,61743,6.48387e+08
560,62236,6.45553e+08
561,62229,6.47933e+08
562,62334,6.49148e+08
563,63344,6.41072e+08
564,63486,6.41911e+08
565,63888,6.40135e+08
566,63513,6.46195e+08
567,63607,6.47521e+08
568,64027,6.45544e+08
569,64258,6.45489e+08
570,64560,6.44729e+08
571,64587,6.46721e+08
572,65252,6.42374e+08
573,65897,6.38311e+08
574,65920,6.40317e+08
575,67424,6.28215e+08
576,66288,6.41205e+08
577,66392,6.42424e+08
578,66454,6.44051e+08
579,66494,6.45891e+08
580,66871,6.4447e+08
581,66748,6.47884e+08
582,67999,6.38155e+08
583,68797,6.32922e+08
584,68032,6.42235e+08
585,68928,6.36058e+08
586,68446,6.42728e+08
587,68106,6.48143e+08
588,68970,6.42205e+08
589,69131,6.42889e+08
590,69050,6.4583e+08
591,70131,6.38032e+08
592,70252,6.39089e+08
593,70113,6.4252e+08
594,70130,6.44532e+08
595,70132,6.46685e+08
596,71538,6.36107e+08
597,70956,6.43477e+08
598,71376,6.41835e+08
599,71155,6.45982e+08
600,73425,6.28102e+08
601,72022,6.42473e+08
602,72186,6.43147e+08
603,73220,6.36172e+08
604,73121,6.39147e+08
605,74141,6.32443e+08
606,75088,6.26531e+08
607,73519,6.42015e+08
608,73745,6.42157e+08
609,75180,6.31973e+08
610,74481,6.4e+08
611,73641,6.49423e+08
612,74268,6.46049e+08
613,74280,6.48057e+08
614,74412,6.49019e+08
615,75097,6.45194e+08
616,75732,6.41866e+08
617,74888,6.51208e+08
618,75680,6.46483e+08
619,75769,6.47814e+08
620,75921,6.48607e+08
621,77553,6.37007e+08
622,77051,6.43223e+08
623,77106,6.44832e+08
624,79148,6.30213e+08
625,77917,6.42222e+08
626,77185,6.50388e+08
627,78044,6.45285e+08
628,78428,6.44175e+08
629,79070,6.4098e+08
630,78301,6.49334e+08
631,78967,6.45903e+08
632,79745,6.41629e+08
633,79539,6.45327e+08
634,79920,6.44281e+08
635,79671,6.48334e+08
636,80536,6.43392e+08
637,81117,6.40793e+08
638,80779,6.45495e+08
639,83037,6.29912e+08
640,81528,6.4358e+08
641,82903,6.34884e+08
642,84329,6.26096e+08
643,85365,6.20426e+08
644,85073,6.24492e+08
645,84368,6.31667e+08
646,86172,6.20362e+08
647,87684,6.11552e+08
648,85364,6.30116e+08
649,85363,6.32069e+08
650,84098,6.43554e+08
651,85017,6.38557e+08
652,88191,6.17467e+08
653,87456,6.24567e+08
654,88251,6.20837e+08
655,84883,6.47446e+08
656,89409,6.16549e+08
657,87566,6.31445e+08
658,86852,6.38575e+08
659,85540,6.50341e+08
660,85778,6.50505e+08
661,85935,6.51285e+08
662,86870,6.46225e+08
663,89390,6.29906e+08
664,87090,6.48492e+08
665,89211,6.34982e+08
666,90821,6.25602e+08
667,88812,6.41675e+08
668,89911,6.35733e+08
669,87935,6.51966e+08
670,88198,6.51966e+08
671,89640,6.43393e+08
672,91731,6.30602e+08
673,91001,6.37553e+08
674,91087,6.38845e+08
675,92004,6.34355e+08
676,91018,6.43128e+08
677,91268,6.43264e+08
678,90603,6.49901e+08
679,90906,6.49646e+08
680,90921,6.51453e+08
681,90768,6.54471e+08
682,91302,6.52554e+08
683,91581,6.52475e+08
684,92247,6.49662e+08
685,92162,6.52163e+08
686,92314,6.52991e+08
687,92986,6.50162e+08
688,93432,6.48943e+08
689,93509,6.50294e+08
690,95078,6.4142e+08
691,96002,6.37089e+08
692,98257,6.2427e+08
693,94586,6.50373e+08
694,95115,6.48623e+08
695,94879,6.52111e+08
696,95580,6.49192e+08
697,95063,6.54599e+08
698,96302,6.48032e+08
699,96287,6.49991e+08
700,96523,6.50257e+08
701,97436,6.46006e+08
702,97064,6.50332e+08
703,97226,6.51099e+08
704,97315,6.52355e+08
705,97673,6.51811e+08
706,98533,6.47955e+08
707,99596,6.42856e+08
708,99817,6.43248e+08
709,99112,6.49654e+08
710,99768,6.47204e+08
711,100104,6.46849e+08
712,99352,6.53579e+08
713,99605,6.53751e+08
714,100013,6.52911e+08
715,100367,6.52431e+08
716,101084,6.49616e+08
717,102539,6.42188e+08
718,101466,6.5079e+08
719,101914,6.49734e+08
720,102314,6.48995e+08
721,103452,6.43639e+08
722,106150,6.29021e+08
723,102934,6.50471e+08
724,105364,6.37228e+08
725,103476,6.50647e+08
726,104366,6.46879e+08
727,103897,6.5159e+08
728,103698,6.54637e+08
729,104268,6.52848e+08
730,105328,6.48051e+08
731,105984,6.45805e+08
732,105083,6.53125e+08
733,112124,6.13784e+08
734,107354,6.42806e+08
735,106212,6.51488e+08
736,105955,6.54846e+08
737,106943,6.5056e+08
738,107329,6.4998e+08
739,107422,6.51177e+08
740,109362,6.41358e+08
741,109155,6.44311e+08
742,109448,6.44321e+08
743,108503,6.51685e+08
744,110275,6.4294e+08
745,109216,6.5092e+08
746,109732,6.49599e+08
747,109531,6.52536e+08
748,111263,6.44099e+08
749,110256,6.5172e+08
750,111260,6.47564e+08
751,116188,6.21753e+08
752,111108,6.51912e+08
753,112195,6.47314e+08
754,111989,6.50227e+08
755,112910,6.46635e+08
756,112345,6.51609e+08
757,115365,6.3623e+08
758,113640,6.47595e+08
759,113904,6.47799e+08
760,113611,6.51182e+08
761,118548,6.25706e+08
762,114363,6.50308e+08
763,114052,6.53794e+08
764,115056,6.49788e+08
765,116068,6.45809e+08
766,115642,6.49883e+08
